epoch,split,class_idx,class_name,precision,recall,f1,threshold,tp,fp,fn,tn,support
5,train,12,chinese_cymbal,0.0476190485060215,0.20000000298023224,0.07692307233810425,0.375,1.0,20.0,4.0,95.0,5.0
5,train,13,splash_cymbal,0.05494505539536476,1.0,0.1041666641831398,0.125,5.0,86.0,0.0,29.0,5.0
6,train,0,kick,0.3947368562221527,0.957446813583374,0.5590062141418457,0.10000000149011612,45.0,69.0,2.0,4.0,47.0
6,train,1,xstick,0.07692307978868484,1.0,0.1428571343421936,0.10000000149011612,6.0,72.0,0.0,42.0,6.0
6,train,2,snare,0.3365384638309479,1.0,0.5035971403121948,0.10000000149011612,35.0,69.0,0.0,16.0,35.0
6,train,3,hihat_pedal,0.171171173453331,0.9047619104385376,0.28787878155708313,0.10000000149011612,19.0,92.0,2.0,7.0,21.0
6,train,4,hihat_closed,0.2028985470533371,0.7368420958518982,0.3181817829608917,0.29999998211860657,14.0,55.0,5.0,46.0,19.0
6,train,5,hihat_open,0.07500000298023224,1.0,0.1395348757505417,0.10000000149011612,6.0,74.0,0.0,40.0,6.0
6,train,6,tom,0.0917431190609932,0.8333333134651184,0.1652892529964447,0.125,10.0,99.0,2.0,9.0,12.0
6,train,7,floor_tom,0.08433734625577927,0.875,0.1538461446762085,0.10000000149011612,7.0,76.0,1.0,36.0,8.0
6,train,8,vibraslap,0.11999999731779099,0.6000000238418579,0.20000000298023224,0.5249999761581421,3.0,22.0,2.0,93.0,5.0
6,train,9,crash,0.10000000149011612,0.20000000298023224,0.13333334028720856,0.550000011920929,1.0,9.0,4.0,106.0,5.0
6,train,10,ride_bow,0.4000000059604645,0.23529411852359772,0.29629629850387573,0.699999988079071,4.0,6.0,13.0,97.0,17.0
6,train,11,ride_bell,0.04545454680919647,0.1428571492433548,0.06896551698446274,0.550000011920929,1.0,21.0,6.0,92.0,7.0
6,train,12,chinese_cymbal,0.03846153989434242,0.20000000298023224,0.06451612710952759,0.42499998211860657,1.0,25.0,4.0,90.0,5.0
6,train,13,splash_cymbal,0.060975611209869385,1.0,0.1149425357580185,0.10000000149011612,5.0,77.0,0.0,38.0,5.0
7,train,0,kick,0.39316239953041077,0.978723406791687,0.5609756112098694,0.10000000149011612,46.0,71.0,1.0,2.0,47.0
7,train,1,xstick,0.0731707289814949,1.0,0.13636362552642822,0.10000000149011612,6.0,76.0,0.0,38.0,6.0
7,train,2,snare,0.3211009204387665,1.0,0.4861111044883728,0.125,35.0,74.0,0.0,11.0,35.0
7,train,3,hihat_pedal,0.17543859779834747,0.9523809552192688,0.29629629850387573,0.10000000149011612,20.0,94.0,1.0,5.0,21.0
7,train,4,hihat_closed,0.21052631735801697,0.6315789222717285,0.31578946113586426,0.3499999940395355,12.0,45.0,7.0,56.0,19.0
7,train,5,hihat_open,0.07228915393352509,1.0,0.13483145833015442,0.10000000149011612,6.0,77.0,0.0,37.0,6.0
7,train,6,tom,0.11009174585342407,1.0,0.19834712147712708,0.15000000596046448,12.0,97.0,0.0,11.0,12.0
7,train,7,floor_tom,0.0833333358168602,0.875,0.15217392146587372,0.10000000149011612,7.0,77.0,1.0,35.0,8.0
7,train,8,vibraslap,0.20000000298023224,0.4000000059604645,0.2666666805744171,0.47499996423721313,2.0,8.0,3.0,107.0,5.0
7,train,9,crash,0.2222222238779068,0.4000000059604645,0.2857142686843872,0.675000011920929,2.0,7.0,3.0,108.0,5.0
7,train,10,ride_bow,0.2857142984867096,0.11764705926179886,0.1666666716337204,0.675000011920929,2.0,5.0,15.0,98.0,17.0
7,train,11,ride_bell,0.0714285746216774,0.1428571492433548,0.0952380895614624,0.5,1.0,13.0,6.0,100.0,7.0
7,train,12,chinese_cymbal,0.09090909361839294,0.4000000059604645,0.14814814925193787,0.3999999761581421,2.0,20.0,3.0,95.0,5.0
7,train,13,splash_cymbal,0.05882352963089943,1.0,0.1111111044883728,0.10000000149011612,5.0,80.0,0.0,35.0,5.0
8,train,0,kick,0.39316239953041077,0.978723406791687,0.5609756112098694,0.10000000149011612,46.0,71.0,1.0,2.0,47.0
8,train,1,xstick,0.06741572916507721,1.0,0.12631578743457794,0.10000000149011612,6.0,83.0,0.0,31.0,6.0
8,train,2,snare,0.32407405972480774,1.0,0.4895104765892029,0.125,35.0,73.0,0.0,12.0,35.0
8,train,3,hihat_pedal,0.17094017565250397,0.9523809552192688,0.28985506296157837,0.10000000149011612,20.0,97.0,1.0,2.0,21.0
8,train,4,hihat_closed,0.24390244483947754,0.5263158082962036,0.3333333730697632,0.375,10.0,31.0,9.0,70.0,19.0
8,train,5,hihat_open,0.07058823853731155,1.0,0.1318681389093399,0.125,6.0,79.0,0.0,35.0,6.0
8,train,6,tom,0.11428571492433548,1.0,0.20512820780277252,0.17499999701976776,12.0,93.0,0.0,15.0,12.0
8,train,7,floor_tom,0.08433734625577927,0.875,0.1538461446762085,0.10000000149011612,7.0,76.0,1.0,36.0,8.0
8,train,8,vibraslap,0.23529411852359772,0.800000011920929,0.3636363446712494,0.550000011920929,4.0,13.0,1.0,102.0,5.0
8,train,9,crash,0.6666666865348816,0.4000000059604645,0.5,0.675000011920929,2.0,1.0,3.0,114.0,5.0
8,train,10,ride_bow,0.4285714328289032,0.1764705926179886,0.25,0.625,3.0,4.0,14.0,99.0,17.0
8,train,11,ride_bell,0.10526315867900848,0.2857142984867096,0.1538461595773697,0.625,2.0,17.0,5.0,96.0,7.0
8,train,12,chinese_cymbal,0.0416666679084301,0.20000000298023224,0.06896551698446274,0.42499998211860657,1.0,23.0,4.0,92.0,5.0
8,train,13,splash_cymbal,0.05882352963089943,1.0,0.1111111044883728,0.10000000149011612,5.0,80.0,0.0,35.0,5.0
9,train,0,kick,0.39316239953041077,0.978723406791687,0.5609756112098694,0.10000000149011612,46.0,71.0,1.0,2.0,47.0
9,train,1,xstick,0.06593406945466995,1.0,0.12371134757995605,0.125,6.0,85.0,0.0,29.0,6.0
9,train,2,snare,0.315315306186676,1.0,0.47945207357406616,0.125,35.0,76.0,0.0,9.0,35.0
9,train,3,hihat_pedal,0.17094017565250397,0.9523809552192688,0.28985506296157837,0.10000000149011612,20.0,97.0,1.0,2.0,21.0
9,train,4,hihat_closed,0.29729729890823364,0.5789473652839661,0.3928571343421936,0.375,11.0,26.0,8.0,75.0,19.0
9,train,5,hihat_open,0.07407407462596893,1.0,0.13793103396892548,0.15000000596046448,6.0,75.0,0.0,39.0,6.0
9,train,6,tom,0.11702127754688263,0.9166666865348816,0.2075471729040146,0.17499999701976776,11.0,83.0,1.0,25.0,12.0
9,train,7,floor_tom,0.08536585420370102,0.875,0.15555556118488312,0.10000000149011612,7.0,75.0,1.0,37.0,8.0
9,train,8,vibraslap,0.4000000059604645,0.4000000059604645,0.40000003576278687,0.47499996423721313,2.0,3.0,3.0,112.0,5.0
9,train,9,crash,0.6666666865348816,0.4000000059604645,0.5,0.625,2.0,1.0,3.0,114.0,5.0
9,train,10,ride_bow,0.4285714328289032,0.1764705926179886,0.25,0.6000000238418579,3.0,4.0,14.0,99.0,17.0
9,train,11,ride_bell,0.2222222238779068,0.2857142984867096,0.25,0.47499996423721313,2.0,7.0,5.0,106.0,7.0
9,train,12,chinese_cymbal,0.09090909361839294,0.4000000059604645,0.14814814925193787,0.375,2.0,20.0,3.0,95.0,5.0
9,train,13,splash_cymbal,0.0602409653365612,1.0,0.11363636702299118,0.10000000149011612,5.0,78.0,0.0,37.0,5.0
10,train,0,kick,0.39316239953041077,0.978723406791687,0.5609756112098694,0.10000000149011612,46.0,71.0,1.0,2.0,47.0
10,train,1,xstick,0.0731707289814949,1.0,0.13636362552642822,0.125,6.0,76.0,0.0,38.0,6.0
10,train,2,snare,0.315315306186676,1.0,0.47945207357406616,0.125,35.0,76.0,0.0,9.0,35.0
10,train,3,hihat_pedal,0.16949152946472168,0.9523809552192688,0.2877698242664337,0.10000000149011612,20.0,98.0,1.0,1.0,21.0
10,train,4,hihat_closed,0.3095238208770752,0.6842105388641357,0.4262295067310333,0.3999999761581421,13.0,29.0,6.0,72.0,19.0
10,train,5,hihat_open,0.07894736528396606,1.0,0.146341472864151,0.15000000596046448,6.0,70.0,0.0,44.0,6.0
10,train,6,tom,0.11702127754688263,0.9166666865348816,0.2075471729040146,0.17499999701976776,11.0,83.0,1.0,25.0,12.0
10,train,7,floor_tom,0.07865168899297714,0.875,0.14432990550994873,0.125,7.0,82.0,1.0,30.0,8.0
10,train,8,vibraslap,0.3333333432674408,0.6000000238418579,0.4285714328289032,0.44999998807907104,3.0,6.0,2.0,109.0,5.0
10,train,9,crash,0.5,0.4000000059604645,0.444444477558136,0.550000011920929,2.0,2.0,3.0,113.0,5.0
10,train,10,ride_bow,0.4285714328289032,0.1764705926179886,0.25,0.6000000238418579,3.0,4.0,14.0,99.0,17.0
10,train,11,ride_bell,0.260869562625885,0.8571428656578064,0.4000000059604645,0.5249999761581421,6.0,17.0,1.0,96.0,7.0
